year,survey,stratum,hauljoin,lat_mid,long_mid
2005,47,134,-12706,56.79966,-151.82245
2005,47,31,-12707,56.811145,-152.045395
2005,47,231,-12708,56.832535,-151.6853
2005,47,530,-12710,56.97961,-151.226995
2005,47,330,-12711,57.025615,-151.4376
2005,47,134,-12712,57.145955,-151.266095
2005,47,31,-12713,57.277045,-151.5689
2005,47,31,-12714,57.116495,-151.817395
2005,47,31,-12715,56.990655,-151.965245
2005,47,31,-12716,56.90204,-152.2288
2005,47,30,-12717,57.02,-153.05775
2005,47,30,-12718,56.963735,-153.4194
2005,47,30,-12719,57.232885,-152.6163
2005,47,30,-12720,57.26029,-152.56425
2005,47,30,-12721,57.325045,-152.53415
2005,47,31,-12722,57.322695,-152.42875
2005,47,31,-12724,57.3203,-152.2556
2005,47,330,-12726,57.435125,-150.337955
2005,47,530,-12727,57.53556,-149.856455
2005,47,530,-12728,57.859025,-149.26915
2005,47,430,-12729,57.901195,-149.2719
2005,47,430,-12730,57.734725,-149.618995
2005,47,230,-12731,57.95119,-149.909755
2005,47,230,-12732,57.919185,-150.033795
2005,47,131,-12733,58.3289,-149.411545
2005,47,131,-12734,58.356395,-149.524145
2005,47,131,-12735,58.307125,-149.457595
2005,47,131,-12736,58.272905,-149.440205
2005,47,230,-12737,58.07092,-149.6003
2005,47,230,-12738,58.061595,-149.83355
2005,47,131,-12740,58.208845,-149.1717
2005,47,131,-12741,58.197445,-149.107605
2005,47,131,-12742,58.26039,-148.9093
2005,47,131,-12743,58.29844,-148.86825
2005,47,131,-12744,58.33618,-148.9942
2005,47,131,-12745,58.493605,-148.74385
2005,47,131,-12746,58.59315,-148.613205
2005,47,133,-12747,59.091565,-148.37425
2005,47,133,-12748,59.32435,-148.053705
2005,47,133,-12749,59.49371,-147.5408
2005,47,133,-12750,59.622155,-147.282655
2005,47,140,-12751,59.640995,-146.961745
2005,47,140,-12752,59.574045,-145.205345
2005,47,140,-12753,59.577235,-144.837005
2005,47,40,-12754,59.86018,-144.309995
2005,47,40,-12755,59.914025,-143.99295
2005,47,141,-12756,59.635125,-143.819495
2005,47,540,-12758,59.48328,-143.076105
2005,47,540,-12759,59.526135,-142.80115
2005,47,141,-12760,59.42776,-142.087295
2005,47,340,-12761,59.23016,-141.514955
2005,47,341,-12763,58.81511,-140.94225
2005,47,341,-12764,58.777855,-140.917355
2005,47,151,-13178,54.75452,-133.4526
2005,47,151,-13179,54.86842,-133.418445
2005,47,151,-13180,54.951585,-133.585
2005,47,151,-13181,54.89376,-133.688495
2005,47,151,-13182,55.06269,-133.949755
2005,47,151,-13183,55.12036,-133.7654
2005,47,50,-13184,55.29242,-133.70065
2005,47,151,-13185,55.146915,-133.67005
2005,47,151,-13186,55.061745,-133.587855
2005,47,151,-13187,55.017565,-133.33775
2005,47,151,-13188,54.887615,-133.2035
2005,47,251,-13189,54.686279999999996,-133.33566
2005,47,350,-13190,54.48807,-132.6706
